Timestamp,L1-dcache-load-misses,instructions,l2_rqsts.miss,branch-misses,cycles,LLC-load-misses
     0.050090622,1076874,102416121,2489955,899727,89988154,22367
     0.100568071,1866175,167440448,2717804,1265188,131179126,35668
     0.150726516,2885180,172734159,5258868,1193070,186176669,186452
     0.200870042,5487218,361196803,7533673,2372808,284800893,275727
     0.251018183,5975573,351961405,8102301,2152230,281401896,332493
     0.301179183,5889497,368913984,7993768,2252033,280387660,251712
     0.351327915,4969402,420619646,6200900,1776013,280203688,240858
     0.401486238,4147622,447098865,5221797,1231324,280913135,535984
     0.451635503,3566189,391067981,4749349,888244,267796929,563709
     0.501792896,2725063,460825744,3110032,705631,279528737,274106
     0.551938434,3597880,413805479,4886519,720627,276411216,502519
     0.602100878,4409407,508258241,5654891,1735034,277930900,182826
     0.652247165,4809104,511191501,5816302,1717254,280329225,186069
     0.702406514,4763325,502471907,5746559,1622230,280470522,216251
     0.752558488,4823817,517569396,5725648,1673452,280629857,186022
     0.802697987,4578069,512762262,5726287,1722269,280487296,187925
     0.852875308,6432734,204397719,9986189,1752517,233545197,1729963
     0.886159489,2949494,84352602,4605496,660856,98729082,694775
